line,position
Lya,1215.67
Heps,3970.079
Hd,4101.742
Hg,4340.471
Hb,4861.333
Ha,6562.82
Pa14,8598.392
Pa13,8665.019
Pa12,8750.472
Pa11,8862.782
Pa10,9014.909
Pa9,9229.014 
Pae,9545.969
Pad,10049.368
Pag,10938.086


