ime,wav,Int
e4D,8101.4700000000003,0.083669909197088929
e4D,8237.1499999999996,0.056021912581676325
e4D,8298.1499999999996,0.060717927398061596
e4D,8352.7999999999993,0.064892216080305182
e4D,8595.2900000000009,0.011107342208064672
e4D,8722.3500000000004,0.13093988512206325
e4D,8926.6399999999994,0.59743352284144458
e4D,8938.0499999999993,0.010367246219521141
e4D,8955.8999999999996,0.018943322526995328
e4D,9070.4599999999991,0.03779506873224895
e4D,9075.5200000000004,0.53500510913931754
e4D,9122.9200000000001,1
e4D,9132.3700000000008,0.96462675609048187
e4D,9175.8999999999996,0.86806464203589495
e4D,9178.0499999999993,0.63116149709920333
e4D,9196.8700000000008,0.3183198488348768
e4D,9203.1399999999994,0.39440655368415195
e4D,9210.8999999999996,0.16271098570023382
e4D,9296.8999999999996,0.17351585733796424
e4D,9323.0599999999995,0.014699313414366281
e4D,9341.2800000000007,0.018095254357986215
e4D,9509.9899999999998,0.014888859174402897
e6D,7894.5799999999999,0.027096427701134598
e6D,7969.0200000000004,0.049442867048420588
e6D,7970.4200000000001,0.11271483944939308
e6D,7981.8999999999996,0.20927511459756723
e6D,8008.6300000000001,0.018407896620276143
e6D,8098.3800000000001,0.034286561583058872
e6D,8157.5500000000002,0.18782157904364322
e6D,8221.2999999999993,0.050525049493411855
e6D,8228.9699999999993,1
e6D,8420.5400000000009,0.16994500643447288
z4F,6233.5299999999997,0.13347207314873027
z4F,6371.1300000000001,0.029175512607409883
z4F,6442.96,0.13687889270348413
z4F,6506.3299999999999,0.077029937214761618
z4F,6508.1300000000001,0.012988639318089412
z4F,6581.2600000000002,0.0069774836450582009
z4F,6596.4499999999998,0.0064041188997452673
z4F,6598.3000000000002,0.031815291056980007
z4F,6623.0699999999997,0.010846593088788709
z4F,9946.8209999999999,0.0024510449318970004
z4F,9956.3099999999995,0.075648508855091071
z4F,9997.5759999999991,1
z4F,10490.941999999999,0.072787026524817028
z4F,10499.297,0.0022243413089886237
z4F,10501.498,0.57855150838421088
z4F,10862.644,0.39236559443364671
z4F,10871.601000000001,0.049327662499980676
z4F,11125.578,0.28054553672618504
z4D,6248.8999999999996,0.19833480570607298
z4D,6317.9799999999996,1
z4D,6383.7200000000003,0.49498069145309559
z4D,6385.4499999999998,0.22258711973734641
z4D,6455.8400000000001,0.10300930853941294
z4D,6491.25,0.14217547779592582
z4D,6493.04,0.23373857286791577
z4D,6517.0200000000004,0.15398068905752191
z4D,6562.1999999999998,0.11719959136161974
z4D,6586.6999999999998,0.14508068406130831
z4D,7711.4399999999996,0.050222036120706998
z4D,7866.5500000000002,0.036042145433755758
z4D,7917.8000000000002,0.010197312864285364
z4D,7975.8999999999996,0.011389548052357677
z4D,8083.8800000000001,0.004117154002341113
z4D,8136.5299999999997,0.0016643165889384079
z4D,10163.594999999999,0.0073366695741597428
z4D,10173.502,0.051859285384542722
z4D,10525.139999999999,0.02753950774148653
z4D,10533.549000000001,0.0038298728176376835
z4D,10829.546,0.0096667996740679631
z4P,7417.5500000000002,0.07622480714414348
z4P,7515.0900000000001,1
z4P,7657.5,0.5762573783127678
z4P,7659.9899999999998,0.16461060257308202
z4P,7693.3900000000003,0.017388220375931671
z4P,7801.2399999999998,0.2326223441358633
z4P,7835.8800000000001,0.174348275919779
z4P,9497.7909999999993,0.065518420959118792
z4P,9572.5969999999998,0.22556896695397938
z4P,9812.0990000000002,0.066931060402816989
z4P,9894.8060000000005,0.05284565139660892
z4P,9976.0239999999994,0.013046231619615318
z4P,10045.066000000001,0.0041725546792948766
z4P,10131.763999999999,0.028852036552320066
a4G,5197.5799999999999,0.51698027798620683
a4G,5234.6300000000001,0.58523394471179802
a4G,5254.9300000000003,0.038484553538747718
a4G,5264.8100000000004,0.041886053312524221
a4G,5276,0.77168014760585391
a4G,5316.6199999999999,1
a4G,5316.7799999999997,0.080811254461807716
a4G,5325.5500000000002,0.1641565523152988
a4G,5337.7299999999996,0.0082860598984786336
a4G,5362.8699999999999,0.12199096028552811
a4G,5414.0699999999997,0.010542600790226031
a4G,5425.2600000000002,0.029083413245742207
a4G,5932.0600000000004,0.00099069207511414282
a4G,5991.3800000000001,0.018602851899241366
a4G,6084.1099999999997,0.0097934942398542387
a4G,6113.3199999999997,0.0042518111585205338
a4G,6116.0600000000004,0.0012344790604922218
a4G,6129.6999999999998,0.0013843144599410256
a4G,6150.1000000000004,0.0010724912578834694
a4H,4278.1589999999997,0.44833303124063617
a4H,4314.3100000000004,1
a4H,4332.8810000000003,0.054825628039082239
a4H,4338.7030000000004,0.23325518033686593
a4H,4372.2219999999998,0.12528208910778238
a4H,4384.3190000000004,0.97405536881807109
a4H,4413.6009999999997,0.40729551122426605
a4H,4825.7359999999999,0.047345662802881473
a4H,4833.1970000000001,0.051754440923970184
a4H,4839.9979999999996,0.038436648131578113
b2H,5432.9700000000003,0.19617776419326358
b2H,5525.1300000000001,0.020409742161077875
b2H,5534.8500000000004,1
b2H,5591.3699999999999,0.017089645411331768
b2H,6269.9700000000003,0.018815797259471918
b4D,6147.7399999999998,0.23806094048929455
b4D,6149.2600000000002,0.23624685547495522
b4D,6238.3900000000003,0.29065263688232468
b4D,6239.9499999999998,0.045086697547758355
b4D,6247.5600000000004,0.57870936137407747
b4D,6407.25,0.0243193440487075
b4D,6416.9200000000001,0.22028627083446348
b4D,6456.3800000000001,1
b4D,7181.2299999999996,0.011432523245975639
b4D,7222.3900000000003,0.055449995136451435
b4D,7224.4899999999998,0.062448608259435087
b4D,7289.0500000000002,0.021919771055042232
b4D,7301.5600000000004,0.0032662113144637972
b4D,7308.0699999999997,0.10391317417748089
b4D,7310.2200000000003,0.047237552399448178
b4D,7320.6499999999996,0.065227339593353667
b4D,7352.6999999999998,0.0012773015998443008
b4D,7449.3400000000001,0.052110617663399098
b4D,7462.4099999999999,0.19437561618214524
b4D,7479.6899999999996,0.027137010187432926
b4D,7515.8299999999999,0.038137142100742004
b4D,7533.3699999999999,0.010477178405804975
b4D,7655.4899999999998,0.028804570768799491
b4D,7711.7200000000003,0.28702965131506225
b4D,7841.3900000000003,0.018689136434795646
b4D,8436.0499999999993,0.0011202833900714484
b4D,8946.0499999999993,0.0057450902614121493
b4D,9214.8400000000001,0.00082323822925240819
b4F,4088.7600000000002,0.00082556611011244945
b4F,4138.4099999999999,0.0018558756038176418
b4F,4472.9300000000003,0.020443973877188118
b4F,4489.1800000000003,0.060110544467089064
b4F,4491.4099999999999,0.10844105066592372
b4F,4508.29,0.33536038041872418
b4F,4515.3400000000001,0.1825494135821239
b4F,4520.2200000000003,0.14465626641424578
b4F,4522.6300000000001,0.5146463213133311
b4F,4534.1700000000001,0.018448380444679967
b4F,4541.5200000000004,0.04853760999251136
b4F,4549.4700000000003,1
b4F,4555.8900000000003,0.28846715306939391
b4F,4576.3400000000001,0.050388061032643525
b4F,4582.8400000000001,0.043894674253295143
b4F,4583.8400000000001,0.55118246300981455
b4F,4595.6800000000003,0.0030332476379830342
b4F,4620.5200000000004,0.029574049186765029
b4F,4629.3400000000001,0.24649832271495364
b4F,4648.2399999999998,0.00077490085442834028
b4F,4666.7600000000002,0.026383031243645425
b4F,4833.8699999999999,0.00060409518922549001
b4F,4893.8199999999997,0.0020032161721071761
b4F,4924.9200000000001,0.00098552104021910848
b4F,4993.3599999999997,0.012927337542079659
b4F,5036.9200000000001,0.0016990248347630531
b4F,5100.6599999999999,0.0024577670750103786
b4F,5120.3500000000004,0.0034278922691128597
b4F,5132.6700000000001,0.0038001078305023753
b4F,5136.8000000000002,0.0017832004258341524
b4F,5146.1300000000001,0.0068477805561335528
b4F,5150.9399999999996,0.0019162083056267194
b4F,5154.4099999999999,0.0040203641598362139
b4F,5161.1800000000003,0.001785179950576601
b4F,5171.6400000000003,0.0024394656064358334
b4F,6229.3500000000004,0.00077040845743955584
b4F,6239.3699999999999,0.001525303640152093
b4P,3764.1100000000001,0.080764694217154653
b4P,3824.9299999999998,0.036703987453594898
b4P,3872.77,0.039938004260239933
b4P,3908.5500000000002,0.0013063545032270594
b4P,3964.5799999999999,0.0091381903129351457
b4P,3974.1700000000001,0.025992329521167569
b4P,4002.0799999999999,0.026142716641363042
b4P,4087.2800000000002,0.0019190519208596717
b4P,4122.6700000000001,0.041203026646424216
b4P,4128.75,0.016797271837672063
b4P,4173.46,0.65676048562095046
b4P,4178.8599999999997,0.32934869330826128
b4P,4233.1700000000001,1
b4P,4258.1499999999996,0.034649121650833788
b4P,4273.3299999999999,0.048112845441517865
b4P,4296.5699999999997,0.085329551747648058
b4P,4303.1800000000003,0.28270075230932462
b4P,4351.7700000000004,0.69646290873759897
b4P,4369.4099999999999,0.017222114201972803
b4P,4385.3900000000003,0.21703813491597718
b4P,4386.5900000000001,0.0011537212487677632
b4P,4416.8299999999999,0.20293797305256314
b4P,4461.4399999999996,0.0078155222293570265
b4P,4580.0600000000004,0.019234816395735471
b4P,4584,0.0053919632701207526
b4P,4648.9399999999996,0.0041734636204293794
b4P,4665.8100000000004,0.001075130183665456
b4P,4670.1800000000003,0.0081250306935648602
b4P,4713.1899999999996,0.00095459288222603928
b4P,4855.5500000000002,0.0047753532948495931
b4P,4871.2799999999997,0.0077799546458287277
b4P,4991.1300000000001,0.0035174503968337738
b4P,5000.7399999999998,0.0014815457813277483
a6S,4593.8299999999999,8.8718310308566576e-05
a6S,4601.3800000000001,0.0002781415027377299
a6S,4656.9799999999996,0.0017502848584403296
a6S,4663.71,0.00040547163428471098
a6S,4731.4499999999998,0.0032624236178955884
a6S,4923.9300000000003,0.35741056123696646
a6S,5018.4399999999996,0.44903112858823085
a6S,5169.0299999999997,1
a6S,5256.9399999999996,0.00041491713357207511
a6S,5284.1099999999997,0.0047600935160990671
a6S,6369.46,0.00037341393880713014
a6S,6432.6800000000003,0.0013011288827185909
a6S,6516.0799999999999,0.0023332434015365215
a2D2,3779.5799999999999,0.37865662976029335
a2D2,3798.5999999999999,0.19115414277275808
a2D2,3833.0100000000002,0.090374222067970356
a2D2,3896.0999999999999,0.19121756254435845
a2D2,4075.9499999999998,1
a2D2,4119.5200000000004,0.029424378265834085
a2D2,4124.79,0.15228066581887184
a2D2,4177.6899999999996,0.42872670029071236
a2D2,4183.1999999999998,0.029048993744997691
a2D2,4258.3400000000001,0.16158387879193428
